64,923.5030,0,1767.9258,0,2517.7578,0,3179.4658,0
100,1143.2996,0,1784.5799,0,2727.8147,0,3261.2515,0
128,1178.4726,0,1817.4522,0,2786.0251,0,3158.0099,0
200,1331.3358,0,1842.7341,0,1223.3806,0,3166.9247,0
256,1396.5105,0,2182.0936,0,1669.7034,0,3037.0722,0
512,1419.3805,0,2305.6454,0,2567.2787,0,3003.7638,0
600,1751.8710,0,2402.5080,0,2787.6487,0,4033.2077,0
900,1615.5973,0,2164.9595,0,2978.5362,0,3988.2391,0
1024,1737.0705,0,2816.7206,0,3136.7715,0,3724.1291,0
2000,1662.0265,0,1566.9205,0,2784.4184,0,3937.4879,0
2048,1688.5464,0,1624.1229,0,3035.4786,0,1.497199e+11,0
3000,3112.2471,0,281.8294,0,1019.3036,0,1346.6633,0
4000,1160.7273,0,927.2937,0,1435.5863,0,677.1006,0
5000,1206.9770,0,274.6718,0,954.2954,0,7.992508e+09,0
6000,813.5747,0,6.231577e+09,0,236.9139,0,8.449242e+09,0
10000,1675.5521,0,1124.6323,0,2669.6574,0,2.247414e+09,0
